"MDG_WORLD	World	MDG_WORLD"
"SDG_NAEUR	Europe and Northern America	SDG_NAEUR"
"M49_NAM	Northern America	M49_NAM"
"BMU	Bermuda	M49_NAM"
"CAN	Canada	M49_NAM"
"USA	United States of America	SDG_NAEUR"
"M49_EUR	Europe	M49_EUR_EE"
"BLR	Belarus	M49_EUR_EE"
"BGR	Bulgaria	M49_EUR_EE"
"CZE	Czechia	M49_EUR_EE"
"HUN	Hungary	M49_EUR_EE"
"POL	Poland	M49_EUR_EE"
"MDA	Republic of Moldova	M49_EUR_EE"
"ROU	Romania	M49_EUR_EE"
"RUS	Russian Federation	M49_EUR_EE"
"SVK	Slovakia	M49_EUR_EE"
"UKR	Ukraine	M49_EUR_NE"
"DNK	Denmark	M49_EUR_NE"
"EST	Estonia	M49_EUR_NE"
"FIN	Finland	M49_EUR_NE"
"ISL	Iceland	M49_EUR_NE"
"IRL	Ireland	M49_EUR_NE"
"LVA	Latvia	M49_EUR_NE"
"LTU	Lithuania	M49_EUR_NE"
"NOR	Norway	M49_EUR_NE"
"SWE	Sweden	M49_EUR_NE"
"GBR	United Kingdom of Great Britain and Northern Ireland	M49_EUR_SE"
"ALB	Albania	M49_EUR_SE"
"AND	Andorra	M49_EUR_SE"
"BIH	Bosnia and Herzegovina	M49_EUR_SE"
"HRV	Croatia	M49_EUR_SE"
"GRC	Greece	M49_EUR_SE"
"ITA	Italy	M49_EUR_SE"
"MLT	Malta	M49_EUR_SE"
"PRT	Portugal	M49_EUR_SE"
"SRB	Serbia	M49_EUR_SE"
"SVN	Slovenia	M49_EUR_SE"
"ESP	Spain	M49_EUR_SE"
"MKD	The former Yugoslav Republic of Macedonia	M49_EUR_WE"
"AUT	Austria	M49_EUR_WE"
"BEL	Belgium	M49_EUR_WE"
"FRA	France	M49_EUR_WE"
"DEU	Germany	M49_EUR_WE"
"LUX	Luxembourg	M49_EUR_WE"
"NLD	Netherlands	M49_EUR_WE"
"CHE	Switzerland	MDG_WORLD"
"MDG_LAC	Latin America and the Caribbean	MDG_LAC_CAR"
"ATG	Antigua and Barbuda	MDG_LAC_CAR"
"BHS	Bahamas	MDG_LAC_CAR"
"BRB	Barbados	MDG_LAC_CAR"
"CUB	Cuba	MDG_LAC_CAR"
"DMA	Dominica	MDG_LAC_CAR"
"DOM	Dominican Republic	MDG_LAC_CAR"
"GRD	Grenada	MDG_LAC_CAR"
"HTI	Haiti	MDG_LAC_CAR"
"JAM	Jamaica	MDG_LAC_CAR"
"PRI	Puerto Rico	MDG_LAC_CAR"
"KNA	Saint Kitts and Nevis	MDG_LAC_CAR"
"LCA	Saint Lucia	MDG_LAC_CAR"
"VCT	Saint Vincent and the Grenadines	MDG_LAC_CAR"
"TTO	Trinidad and Tobago	M49_LAC_CA"
"BLZ	Belize	M49_LAC_CA"
"CRI	Costa Rica	M49_LAC_CA"
"SLV	El Salvador	M49_LAC_CA"
"GTM	Guatemala	M49_LAC_CA"
"HND	Honduras	M49_LAC_CA"
"MEX	Mexico	M49_LAC_CA"
"NIC	Nicaragua	M49_LAC_CA"
"PAN	Panama	M49_LAC_SA"
"ARG	Argentina	M49_LAC_SA"
"BOL	Bolivia (Plurinational State of)	M49_LAC_SA"
"BRA	Brazil	M49_LAC_SA"
"CHL	Chile	M49_LAC_SA"
"COL	Colombia	M49_LAC_SA"
"ECU	Ecuador	M49_LAC_SA"
"GUF	French Guiana	M49_LAC_SA"
"GUY	Guyana	M49_LAC_SA"
"PRY	Paraguay	M49_LAC_SA"
"PER	Peru	M49_LAC_SA"
"SUR	Suriname	M49_LAC_SA"
"URY	Uruguay	M49_LAC_SA"
"VEN	Venezuela (Bolivarian Republic of)	MDG_WORLD"
"SDG_ASI_SCA	Central and Southern Asia	SDG_ASI_SCA"
"M49_ASI_CA	Central Asia	M49_ASI_CA"
"KAZ	Kazakhstan	M49_ASI_CA"
"KGZ	Kyrgyzstan	M49_ASI_CA"
"TJK	Tajikistan	M49_ASI_CA"
"TKM	Turkmenistan	M49_ASI_CA"
"UZB	Uzbekistan	SDG_ASI_SCA"
"MDG_SAS	Southern Asia	MDG_SAS"
"AFG	Afghanistan	MDG_SAS"
"BGD	Bangladesh	MDG_SAS"
"BTN	Bhutan	MDG_SAS"
"IND	India	MDG_SAS"
"IRN	Iran (Islamic Republic of)	MDG_SAS"
"MDV	Maldives	MDG_SAS"
"NPL	Nepal	MDG_SAS"
"PAK	Pakistan	MDG_SAS"
"LKA	Sri Lanka	MDG_WORLD"
"SDG_ESEASI	Eastern and South-Eastern Asia	SDG_ESEASI"
"M49_ASI_EA	Eastern Asia	M49_ASI_EA"
"CHN	China	M49_ASI_EA"
"PRK	Democratic People's Republic of Korea	M49_ASI_EA"
"JPN	Japan	M49_ASI_EA"
"MNG	Mongolia	M49_ASI_EA"
"KOR	Republic of Korea	SDG_ESEASI"
"MDG_SEAS	South-Eastern Asia	MDG_SEAS"
"BRN	Brunei Darussalam	MDG_SEAS"
"KHM	Cambodia	MDG_SEAS"
"IDN	Indonesia	MDG_SEAS"
"LAO	Lao People's Democratic Republic	MDG_SEAS"
"MYS	Malaysia	MDG_SEAS"
"MMR	Myanmar	MDG_SEAS"
"PHL	Philippines	MDG_SEAS"
"SGP	Singapore	MDG_SEAS"
"THA	Thailand	MDG_SEAS"
"TLS	Timor-Leste	MDG_SEAS"
"VNM	Viet Nam	MDG_WORLD"
"SDG_NAWA	Northern Africa and Western Asia	SDG_NAWA"
"M49_ASI_WA	Western Asia	M49_ASI_WA"
"ARM	Armenia	M49_ASI_WA"
"AZE	Azerbaijan	M49_ASI_WA"
"BHR	Bahrain	M49_ASI_WA"
"CYP	Cyprus	M49_ASI_WA"
"GEO	Georgia	M49_ASI_WA"
"IRQ	Iraq	M49_ASI_WA"
"ISR	Israel	M49_ASI_WA"
"JOR	Jordan	M49_ASI_WA"
"KWT	Kuwait	M49_ASI_WA"
"LBN	Lebanon	M49_ASI_WA"
"OMN	Oman	M49_ASI_WA"
"QAT	Qatar	M49_ASI_WA"
"SAU	Saudi Arabia	M49_ASI_WA"
"PSE	State of Palestine	M49_ASI_WA"
"SYR	Syrian Arab Republic	M49_ASI_WA"
"TUR	Turkey	M49_ASI_WA"
"ARE	United Arab Emirates	M49_ASI_WA"
"YEM	Yemen	SDG_NAWA"
"M49_AFR_NA	Northern Africa	M49_AFR_NA"
"DZA	Algeria	M49_AFR_NA"
"EGY	Egypt	M49_AFR_NA"
"LBY	Libya	M49_AFR_NA"
"MAR	Morocco	M49_AFR_NA"
"SDN	Sudan	M49_AFR_NA"
"TUN	Tunisia	MDG_WORLD"
"SDG_AFR_SSA	Sub-Saharan Africa	M49_AFR_EA"
"BDI	Burundi	M49_AFR_EA"
"COM	Comoros	M49_AFR_EA"
"DJI	Djibouti	M49_AFR_EA"
"ERI	Eritrea	M49_AFR_EA"
"ETH	Ethiopia	M49_AFR_EA"
"KEN	Kenya	M49_AFR_EA"
"MDG	Madagascar	M49_AFR_EA"
"MWI	Malawi	M49_AFR_EA"
"MUS	Mauritius	M49_AFR_EA"
"MOZ	Mozambique	M49_AFR_EA"
"REU	Reunion	M49_AFR_EA"
"RWA	Rwanda	M49_AFR_EA"
"SOM	Somalia	M49_AFR_EA"
"SSD	South Sudan	M49_AFR_EA"
"UGA	Uganda	M49_AFR_EA"
"TZA	United Republic of Tanzania	M49_AFR_EA"
"ZMB	Zambia	M49_AFR_EA"
"ZWE	Zimbabwe	M49_AFR_MA"
"AGO	Angola	M49_AFR_MA"
"CMR	Cameroon	M49_AFR_MA"
"CAF	Central African Republic	M49_AFR_MA"
"TCD	Chad	M49_AFR_MA"
"COG	Congo	M49_AFR_MA"
"COD	Democratic Republic of the Congo	M49_AFR_MA"
"GNQ	Equatorial Guinea	M49_AFR_MA"
"GAB	Gabon	M49_AFR_MA"
"STP	Sao Tome and Principe	M49_AFR_SA"
"BWA	Botswana	M49_AFR_SA"
"LSO	Lesotho	M49_AFR_SA"
"NAM	Namibia	M49_AFR_SA"
"ZAF	South Africa	M49_AFR_SA"
"SWZ	Swaziland	M49_AFR_WA"
"BEN	Benin	M49_AFR_WA"
"BFA	Burkina Faso	M49_AFR_WA"
"CPV	Cabo Verde	M49_AFR_WA"
"CIV	Cote d'Ivoire	M49_AFR_WA"
"GMB	Gambia	M49_AFR_WA"
"GHA	Ghana	M49_AFR_WA"
"GIN	Guinea	M49_AFR_WA"
"GNB	Guinea-Bissau	M49_AFR_WA"
"LBR	Liberia	M49_AFR_WA"
"MLI	Mali	M49_AFR_WA"
"MRT	Mauritania	M49_AFR_WA"
"NER	Niger	M49_AFR_WA"
"NGA	Nigeria	M49_AFR_WA"
"SEN	Senegal	M49_AFR_WA"
"SLE	Sierra Leone	M49_AFR_WA"
"TGO	Togo	MDG_WORLD"
"M49_OCE	Oceania	M49_OCE"
"MDG_OCE	Oceania (excluding Australia and New Zealand)	M49_OCE_MEL"
"FJI	Fiji	M49_OCE_MEL"
"PNG	Papua New Guinea	M49_OCE_MEL"
"SLB	Solomon Islands	M49_OCE_MEL"
"VUT	Vanuatu	M49_OCE"
"SDG_OCE_ANZ	Australia and New Zealand	SDG_OCE_ANZ"
"AUS	Australia	SDG_OCE_ANZ"
"NZL	New Zealand	"
"MDG_LLDC	Landlocked developing countries	"
"MDG_LDC	Least developed countries	"
"MDG_SIDS	Small island developing States	"
